iter	Passed	Remaining
1079	23255	84408
1080	23283	84410
1081	23308	84403
1082	23336	84403
1083	23363	84403
1084	23389	84397
1085	23414	84386
1086	23438	84374
1087	23459	84350
1088	23480	84326
1089	23501	84302
1090	23521	84276
1091	23540	84247
1092	23562	84224
1093	23584	84206
1094	23602	84171
1095	23623	84149
1096	23643	84120
1097	23665	84102
1098	23693	84102
1099	23711	84069
1100	23730	84037
1101	23751	84014
1102	23771	83986
1103	23790	83957
1104	23814	83944
1105	23843	83948
1106	23868	83940
1107	23893	83927
1108	23915	83908
1109	23945	83915
1110	23969	83903
1111	23997	83903
1112	24019	83883
1113	24040	83861
1114	24059	83831
1115	24078	83798
1116	24096	83767
1117	24114	83733
1118	24133	83700
1119	24152	83671
1120	24170	83638
1121	24190	83609
1122	24208	83575
1123	24232	83563
1124	24259	83561
1125	24285	83554
1126	24313	83553
1127	24339	83549
1128	24365	83543
1129	24393	83543
1130	24419	83535
1131	24440	83512
1132	24461	83488
1133	24481	83462
1134	24502	83439
1135	24524	83418
1136	24545	83395
1137	24567	83373
1138	24587	83346
1139	24612	83335
1140	24638	83331
1141	24666	83331
1142	24695	83333
1143	24722	83329
1144	24750	83329
1145	24778	83330
1146	24805	83327
1147	24827	83307
1148	24849	83286
1149	24868	83254
1150	24890	83233
1151	24915	83224
1152	24938	83208
1153	24960	83185
1154	24978	83153
1155	25000	83134
1156	25020	83106
1157	25042	83085
1158	25062	83058
1159	25089	83054
1160	25112	83039
1161	25135	83021
1162	25163	83019
1163	25190	83017
1164	25218	83014
1165	25251	83030
1166	25277	83022
1167	25299	83004
1168	25321	82983
1169	25341	82955
1170	25364	82938
1171	25386	82916
1172	25406	82890
1173	25437	82897
1174	25458	82874
1175	25479	82850
1176	25500	82826
1177	25522	82806
1178	25541	82778
1179	25563	82757
1180	25585	82735
1181	25607	82714
1182	25627	82687
1183	25654	82683
1184	25677	82667
1185	25699	82644
1186	25721	82623
1187	25744	82608
1188	25766	82587
1189	25786	82560
1190	25808	82538
1191	25829	82514
1192	25849	82487
1193	25870	82465
1194	25891	82442
1195	25913	82421
1196	25938	82408
1197	25962	82396
1198	25986	82380
1199	26011	82370
1200	26035	82354
1201	26059	82342
1202	26081	82320
1203	26103	82300
1204	26123	82274
1205	26145	82251
1206	26165	82225
1207	26186	82200
1208	26205	82172
1209	26227	82150
1210	26247	82123
1211	26269	82102
1212	26290	82079
1213	26311	82056
1214	26332	82030
1215	26354	82011
1216	26376	81990
1217	26400	81974
1218	26421	81953
1219	26446	81940
1220	26479	81954
1221	26505	81945
1222	26530	81934
1223	26553	81916
1224	26581	81914
1225	26606	81904
1226	26628	81883
1227	26654	81874
1228	26678	81858
1229	26704	81851
1230	26729	81840
1231	26753	81824
