iter	Passed	Remaining
982	90044	1557
983	90133	1465
984	90217	1373
985	90299	1282
986	90382	1190
987	90463	1098
988	90555	1007
989	90643	915
990	90734	824
991	90819	732
992	90915	640
993	91000	549
994	91088	457
995	91175	366
996	91269	274
997	91359	183
998	91442	91
999	91526	0
